chrom	start	end	mean_value
chr8	25500000	27500000	48
chr8	97500000	99500000	48
chr9	91500000	93500000	48
chr9	101500000	103500000	48
chr10	56000000	58000000	48
chr12	17000000	19000000	48
chr13	26000000	28000000	48
chr16	87500000	89500000	48
chr18	1500000	3500000	48
chr22	40500000	42500000	48
chr1	39500000	41500000	47.75
chr2	50000000	52000000	47.75
chr2	126500000	128500000	47.75
chr3	1000000	3000000	47.75
chr4	65500000	67500000	47.75
chr4	183000000	185000000	47.75
chr5	59500000	61500000	47.75
chr5	99000000	101000000	47.75
chr5	153000000	155000000	47.75
chr6	30000000	32000000	47.75
chr6	31000000	33000000	47.75
chr6	37000000	39000000	47.75
chr6	99000000	101000000	47.75
chr6	99500000	101500000	47.75
chr6	130000000	132000000	47.75
chr7	2000000	4000000	47.75
chr7	23500000	25500000	47.75
chr7	54000000	56000000	47.75
chr7	54500000	56500000	47.75
chr7	68000000	70000000	47.75
chr7	69000000	71000000	47.75
chr8	12500000	14500000	47.75
chr8	56000000	58000000	47.75
chr9	102000000	104000000	47.75
chr10	19000000	21000000	47.75
chr10	44000000	46000000	47.75
chr11	8500000	10500000	47.75
chr11	15500000	17500000	47.75
chr11	55000000	57000000	47.75
chr11	104500000	106500000	47.75
chr12	41500000	43500000	47.75
chr14	39000000	41000000	47.75
chr14	47000000	49000000	47.75
chr14	71000000	73000000	47.75
chr16	82000000	84000000	47.75
chrX	76000000	78000000	47.75
chr1	196000000	198000000	47.5
chr2	9000000	11000000	47.5
chr2	117000000	119000000	47.5
chr2	127000000	129000000	47.5
chr2	138500000	140500000	47.5
chr3	138500000	140500000	47.5
chr4	66000000	68000000	47.5
chr5	125000000	127000000	47.5
chr6	1000000	3000000	47.5
chr6	65500000	67500000	47.5
chr6	70500000	72500000	47.5
chr6	77000000	79000000	47.5
chr6	157000000	159000000	47.5
chr7	3000000	5000000	47.5
chr7	126000000	128000000	47.5
chr8	4500000	6500000	47.5
chr8	5000000	7000000	47.5
chr9	131000000	133000000	47.5
chr10	4500000	6500000	47.5
chr10	37500000	39500000	47.5
chr11	9500000	11500000	47.5
chr11	55500000	57500000	47.5
chr11	105000000	107000000	47.5
chr12	16000000	18000000	47.5
chr12	90000000	92000000	47.5
chr12	90500000	92500000	47.5
chr14	38500000	40500000	47.5
chr14	70000000	72000000	47.5
chr21	40000000	42000000	47.5
chr1	18000000	20000000	47.25
chr1	40000000	42000000	47.25
chr1	171000000	173000000	47.25
chr2	9500000	11500000	47.25
chr2	48500000	50500000	47.25
chr2	202500000	204500000	47.25
chr3	42000000	44000000	47.25
chr4	125000000	127000000	47.25
chr5	24000000	26000000	47.25
chr5	114500000	116500000	47.25
chr6	7500000	9500000	47.25
chr6	30500000	32500000	47.25
chr6	38000000	40000000	47.25
chr6	65000000	67000000	47.25
chr6	76500000	78500000	47.25
chr8	39500000	41500000	47.25
chr8	100500000	102500000	47.25
chr10	19500000	21500000	47.25
chr10	20000000	22000000	47.25
chr10	27000000	29000000	47.25
chr10	94500000	96500000	47.25
chr11	8000000	10000000	47.25
chr11	9000000	11000000	47.25
chr11	57000000	59000000	47.25
chr12	43000000	45000000	47.25
chr13	75500000	77500000	47.25
chr13	101500000	103500000	47.25
chr14	83500000	85500000	47.25
chr16	68500000	70500000	47.25
chr16	81500000	83500000	47.25
chr16	88000000	90000000	47.25
chr19	6500000	8500000	47.25
chr20	15500000	17500000	47.25
chr22	42500000	44500000	47.25
chr1	190500000	192500000	47
chr1	216500000	218500000	47
chr1	230000000	232000000	47
chr2	60000000	62000000	47
chr2	61000000	63000000	47
chr2	140000000	142000000	47
chr2	184500000	186500000	47
chr3	17500000	19500000	47
chr4	35500000	37500000	47
chr4	121500000	123500000	47
chr4	126500000	128500000	47
chr5	56500000	58500000	47
chr5	60000000	62000000	47
chr5	110500000	112500000	47
chr6	26500000	28500000	47
chr6	130500000	132500000	47
chr7	2500000	4500000	47
chr7	24000000	26000000	47
chr7	130000000	132000000	47
chr8	56500000	58500000	47
chr9	101000000	103000000	47
chr10	65000000	67000000	47
chr10	94000000	96000000	47
chr11	10000000	12000000	47
chr11	16500000	18500000	47
chr12	41000000	43000000	47
chr12	50500000	52500000	47
chr12	56500000	58500000	47
chr12	89500000	91500000	47
chr12	109000000	111000000	47
chr13	101000000	103000000	47
chr14	38000000	40000000	47
chr15	56000000	58000000	47
chr18	66500000	68500000	47
chr19	7000000	9000000	47
chr19	21500000	23500000	47
chr19	47500000	49500000	47
chr21	39500000	41500000	47
chr22	19000000	21000000	47
chr22	29500000	31500000	47
chr22	31000000	33000000	47
chr1	18500000	20500000	46.75
chr1	171500000	173500000	46.75
chr1	172000000	174000000	46.75
chr1	234000000	236000000	46.75
chr2	60500000	62500000	46.75
chr2	199500000	201500000	46.75
chr3	17000000	19000000	46.75
chr3	63500000	65500000	46.75
chr3	145500000	147500000	46.75
chr3	165500000	167500000	46.75
chr4	56500000	58500000	46.75
chr4	65000000	67000000	46.75
chr4	125500000	127500000	46.75
chr4	126000000	128000000	46.75
chr4	183500000	185500000	46.75
chr5	6500000	8500000	46.75
chr5	16500000	18500000	46.75
chr5	111000000	113000000	46.75
chr6	32000000	34000000	46.75
chr6	77500000	79500000	46.75
chr6	87500000	89500000	46.75
chr6	118000000	120000000	46.75
chr6	129500000	131500000	46.75
chr7	31500000	33500000	46.75
chr7	67500000	69500000	46.75
chr7	131500000	133500000	46.75
chr8	13000000	15000000	46.75
chr8	107500000	109500000	46.75
chr9	500000	2500000	46.75
chr9	92000000	94000000	46.75
chr9	132000000	134000000	46.75
chr10	11500000	13500000	46.75
chr10	91500000	93500000	46.75
chr11	17000000	19000000	46.75
chr11	54500000	56500000	46.75
chr12	89000000	91000000	46.75
chr14	40500000	42500000	46.75
chr14	84000000	86000000	46.75
chr15	81000000	83000000	46.75
chr15	81500000	83500000	46.75
chr15	82000000	84000000	46.75
chr16	87000000	89000000	46.75
chr17	32000000	34000000	46.75
chr18	25500000	27500000	46.75
chr18	26000000	28000000	46.75
chr19	44500000	46500000	46.75
chr19	45000000	47000000	46.75
chr20	16000000	18000000	46.75
chrX	33000000	35000000	46.75
chr1	154000000	156000000	46.5
chr1	179500000	181500000	46.5
chr1	195500000	197500000	46.5
chr1	229500000	231500000	46.5
chr1	234500000	236500000	46.5
chr2	30000000	32000000	46.5
chr2	40500000	42500000	46.5
chr2	49000000	51000000	46.5
chr2	49500000	51500000	46.5
chr2	125500000	127500000	46.5
chr2	139500000	141500000	46.5
chr2	185000000	187000000	46.5
chr2	234500000	236500000	46.5
chr3	23500000	25500000	46.5
chr3	80000000	82000000	46.5
chr3	135500000	137500000	46.5
chr3	158000000	160000000	46.5
chr4	114000000	116000000	46.5
chr4	127500000	129500000	46.5
chr4	149500000	151500000	46.5
chr5	36500000	38500000	46.5
chr5	59000000	61000000	46.5
chr5	92000000	94000000	46.5
chr5	92500000	94500000	46.5
chr6	80000000	82000000	46.5
chr6	88500000	90500000	46.5
chr7	15000000	17000000	46.5
chr7	15500000	17500000	46.5
chr7	132000000	134000000	46.5
chr8	3000000	5000000	46.5
chr8	113000000	115000000	46.5
chr9	5500000	7500000	46.5
chr9	14000000	16000000	46.5
chr9	14500000	16500000	46.5
chr9	23000000	25000000	46.5
chr9	26500000	28500000	46.5
chr10	4000000	6000000	46.5
chr10	107000000	109000000	46.5
chr11	16000000	18000000	46.5
chr11	29000000	31000000	46.5
chr11	68500000	70500000	46.5
chr12	4500000	6500000	46.5
chr12	40500000	42500000	46.5
chr12	42000000	44000000	46.5
chr12	42500000	44500000	46.5
chr12	103500000	105500000	46.5
chr12	104500000	106500000	46.5
chr12	105000000	107000000	46.5
chr13	29000000	31000000	46.5
chr14	21000000	23000000	46.5
chr16	76500000	78500000	46.5
chr16	77000000	79000000	46.5
chr17	27000000	29000000	46.5
chr19	45500000	47500000	46.5
chr19	46000000	48000000	46.5
chr21	44500000	46500000	46.5
chrX	76500000	78500000	46.5
chr1	78500000	80500000	46.25
chr1	164500000	166500000	46.25
chr1	170500000	172500000	46.25
chr2	8500000	10500000	46.25
chr2	47500000	49500000	46.25
chr2	55000000	57000000	46.25
chr2	105000000	107000000	46.25
chr2	200500000	202500000	46.25
chr2	201500000	203500000	46.25
chr2	228500000	230500000	46.25
chr3	34500000	36500000	46.25
chr3	75500000	77500000	46.25
chr3	76000000	78000000	46.25
chr3	120500000	122500000	46.25
chr4	57000000	59000000	46.25
chr4	168500000	170500000	46.25
chr4	179500000	181500000	46.25
chr5	93500000	95500000	46.25
chr6	66000000	68000000	46.25
chr6	88000000	90000000	46.25
chr6	89000000	91000000	46.25
chr6	161500000	163500000	46.25
chr7	32000000	34000000	46.25
chr7	89500000	91500000	46.25
chr7	131000000	133000000	46.25
chr8	55500000	57500000	46.25
chr8	69000000	71000000	46.25
chr8	101000000	103000000	46.25
chr9	17500000	19500000	46.25
chr10	3500000	5500000	46.25
chr11	38000000	40000000	46.25
chr11	69000000	71000000	46.25
chr11	127500000	129500000	46.25
chr11	130000000	132000000	46.25
chr12	27000000	29000000	46.25
chr13	26500000	28500000	46.25
chr13	42500000	44500000	46.25
chr13	81500000	83500000	46.25
chr15	83500000	85500000	46.25
chr16	7000000	9000000	46.25
chr16	7500000	9500000	46.25
chr16	70500000	72500000	46.25
chr16	82500000	84500000	46.25
chr17	31500000	33500000	46.25
chr17	58000000	60000000	46.25
chr18	2000000	4000000	46.25
chr19	47000000	49000000	46.25
chr20	53000000	55000000	46.25
chr21	41000000	43000000	46.25
chr22	26500000	28500000	46.25
chr1	37000000	39000000	46
chr1	48000000	50000000	46
chr1	119000000	121000000	46
chr1	173000000	175000000	46
chr1	220500000	222500000	46
chr2	18500000	20500000	46
chr2	27000000	29000000	46
chr2	55500000	57500000	46
chr2	149500000	151500000	46
chr2	234000000	236000000	46
chr3	121000000	123000000	46
chr3	145000000	147000000	46
chr3	153000000	155000000	46
chr4	35000000	37000000	46
chr4	115000000	117000000	46
chr4	118500000	120500000	46
chr4	121000000	123000000	46
chr4	149000000	151000000	46
chr4	179000000	181000000	46
chr5	35500000	37500000	46
chr5	91500000	93500000	46
chr5	126000000	128000000	46
chr6	15500000	17500000	46
chr6	25500000	27500000	46
chr6	36500000	38500000	46
chr6	79500000	81500000	46
chr6	115000000	117000000	46
chr6	118500000	120500000	46
chr7	3500000	5500000	46
chr7	14000000	16000000	46
chr7	14500000	16500000	46
chr7	22500000	24500000	46
chr7	23000000	25000000	46
chr7	48500000	50500000	46
chr7	100500000	102500000	46
chr8	22000000	24000000	46
chr9	0	2000000	46
chr9	27500000	29500000	46
chr9	28000000	30000000	46
chr10	44500000	46500000	46
chr11	10500000	12500000	46
chr11	97500000	99500000	46
chr11	125000000	127000000	46
chr11	128500000	130500000	46
chr11	131000000	133000000	46
chr11	132000000	134000000	46
chr12	2500000	4500000	46
chr12	26000000	28000000	46
chr12	92000000	94000000	46
chr12	98000000	100000000	46
chr12	130500000	132500000	46
chr13	25000000	27000000	46
chr14	83000000	85000000	46
chr15	92500000	94500000	46
chr17	78000000	80000000	46
chr18	30000000	32000000	46
chr19	22000000	24000000	46
chr19	43500000	45500000	46
chr19	56000000	58000000	46
chr20	15000000	17000000	46
chr20	52500000	54500000	46
chr22	30000000	32000000	46
chr22	30500000	32500000	46
chrX	34000000	36000000	46
chrX	56500000	58500000	46
chr1	17500000	19500000	45.75
chr1	154500000	156500000	45.75
chr1	173500000	175500000	45.75
chr1	179000000	181000000	45.75
chr1	241500000	243500000	45.75
chr2	8000000	10000000	45.75
chr2	27500000	29500000	45.75
chr2	41500000	43500000	45.75
chr2	56000000	58000000	45.75
chr2	57000000	59000000	45.75
chr2	185500000	187500000	45.75
chr2	196000000	198000000	45.75
chr3	26500000	28500000	45.75
chr3	84000000	86000000	45.75
chr3	121500000	123500000	45.75
chr4	15000000	17000000	45.75
chr4	26500000	28500000	45.75
chr4	120500000	122500000	45.75
chr4	131000000	133000000	45.75
chr4	184500000	186500000	45.75
chr5	58000000	60000000	45.75
chr5	85000000	87000000	45.75
chr5	93000000	95000000	45.75
chr5	109000000	111000000	45.75
chr5	115500000	117500000	45.75
chr6	15000000	17000000	45.75
chr6	26000000	28000000	45.75
chr6	114500000	116500000	45.75
chr6	115500000	117500000	45.75
chr6	116500000	118500000	45.75
chr6	117500000	119500000	45.75
chr7	48000000	50000000	45.75
chr7	126500000	128500000	45.75
chr8	5500000	7500000	45.75
chr8	98000000	100000000	45.75
chr8	102000000	104000000	45.75
chr8	112000000	114000000	45.75
chr9	8000000	10000000	45.75
chr9	8500000	10500000	45.75
chr9	22500000	24500000	45.75
chr9	69000000	71000000	45.75
chr9	86000000	88000000	45.75
chr10	55500000	57500000	45.75
chr11	105500000	107500000	45.75
chr11	127000000	129000000	45.75
chr12	3000000	5000000	45.75
chr12	25500000	27500000	45.75
chr13	35500000	37500000	45.75
chr13	41500000	43500000	45.75
chr13	42000000	44000000	45.75
chr15	40000000	42000000	45.75
chr15	93000000	95000000	45.75
chr15	94500000	96500000	45.75
chr16	25000000	27000000	45.75
chr17	38500000	40500000	45.75
chr18	29500000	31500000	45.75
chr19	6000000	8000000	45.75
chr19	44000000	46000000	45.75
chr19	46500000	48500000	45.75
chr20	10500000	12500000	45.75
chr20	16500000	18500000	45.75
chrX	25500000	27500000	45.75
chrX	83500000	85500000	45.75
chrX	127000000	129000000	45.75
chr1	233500000	235500000	45.5
chr2	10000000	12000000	45.5
chr2	48000000	50000000	45.5
chr2	50500000	52500000	45.5
chr2	59500000	61500000	45.5
chr2	183500000	185500000	45.5
chr2	201000000	203000000	45.5
chr2	202000000	204000000	45.5
chr2	229000000	231000000	45.5
chr2	229500000	231500000	45.5
chr3	500000	2500000	45.5
chr3	1500000	3500000	45.5
chr3	11000000	13000000	45.5
chr3	24000000	26000000	45.5
chr3	32000000	34000000	45.5
chr3	41500000	43500000	45.5
chr3	135000000	137000000	45.5
chr3	152500000	154500000	45.5
chr3	157500000	159500000	45.5
chr4	30000000	32000000	45.5
chr4	119000000	121000000	45.5
chr4	123000000	125000000	45.5
chr4	151500000	153500000	45.5
chr5	7000000	9000000	45.5
chr5	19000000	21000000	45.5
chr5	24500000	26500000	45.5
chr5	41500000	43500000	45.5
chr5	52500000	54500000	45.5
chr5	56000000	58000000	45.5
chr5	114000000	116000000	45.5
chr5	115000000	117000000	45.5
chr5	131500000	133500000	45.5
chr5	165000000	167000000	45.5
chr6	8500000	10500000	45.5
chr6	16500000	18500000	45.5
chr6	71500000	73500000	45.5
chr6	117000000	119000000	45.5
chr7	130500000	132500000	45.5
chr7	149500000	151500000	45.5
chr8	103500000	105500000	45.5
chr8	105000000	107000000	45.5
chr8	112500000	114500000	45.5
chr8	141000000	143000000	45.5
chr9	9000000	11000000	45.5
chr9	79000000	81000000	45.5
chr9	130500000	132500000	45.5
chr10	18500000	20500000	45.5
chr10	51500000	53500000	45.5
chr10	108500000	110500000	45.5
chr11	29500000	31500000	45.5
chr11	98000000	100000000	45.5
chr11	104000000	106000000	45.5
chr11	128000000	130000000	45.5
chr11	131500000	133500000	45.5
chr12	3500000	5500000	45.5
chr12	4000000	6000000	45.5
chr12	26500000	28500000	45.5
chr12	44000000	46000000	45.5
chr12	51000000	53000000	45.5
chr12	94000000	96000000	45.5
chr14	20000000	22000000	45.5
chr14	21500000	23500000	45.5
chr14	80000000	82000000	45.5
chr15	55500000	57500000	45.5
chr15	63000000	65000000	45.5
chr16	24500000	26500000	45.5
chr17	76000000	78000000	45.5
chr17	77500000	79500000	45.5
chr18	67000000	69000000	45.5
chr18	78000000	80000000	45.5
chr19	21000000	23000000	45.5
chr19	55000000	57000000	45.5
chrX	68500000	70500000	45.5
chrX	75000000	77000000	45.5
chr1	28000000	30000000	45.25
chr1	79000000	81000000	45.25
chr1	172500000	174500000	45.25
chr1	217000000	219000000	45.25
chr1	226500000	228500000	45.25
chr2	11000000	13000000	45.25
chr2	138000000	140000000	45.25
chr2	146500000	148500000	45.25
chr2	196500000	198500000	45.25
chr3	0	2000000	45.25
chr3	35000000	37000000	45.25
chr3	54500000	56500000	45.25
chr3	60500000	62500000	45.25
chr3	94000000	96000000	45.25
chr3	94500000	96500000	45.25
chr3	171000000	173000000	45.25
chr3	193000000	195000000	45.25
chr4	56000000	58000000	45.25
chr4	98000000	100000000	45.25
chr4	115500000	117500000	45.25
chr4	118000000	120000000	45.25
chr4	184000000	186000000	45.25
chr5	100000000	102000000	45.25
chr5	100500000	102500000	45.25
chr5	103000000	105000000	45.25
chr5	135000000	137000000	45.25
chr5	164500000	166500000	45.25
chr6	500000	2500000	45.25
chr6	19000000	21000000	45.25
chr6	38500000	40500000	45.25
chr6	66500000	68500000	45.25
chr6	75500000	77500000	45.25
chr6	116000000	118000000	45.25
chr6	162500000	164500000	45.25
chr7	1500000	3500000	45.25
chr7	4000000	6000000	45.25
chr7	4500000	6500000	45.25
chr7	9500000	11500000	45.25
chr7	150000000	152000000	45.25
chr7	150500000	152500000	45.25
chr8	25000000	27000000	45.25
chr8	26000000	28000000	45.25
chr8	69500000	71500000	45.25
chr8	70500000	72500000	45.25
chr8	129000000	131000000	45.25
chr9	37000000	39000000	45.25
chr9	92500000	94500000	45.25
chr9	93000000	95000000	45.25
chr9	93500000	95500000	45.25
chr10	5000000	7000000	45.25
chr10	5500000	7500000	45.25
chr10	78500000	80500000	45.25
chr11	4500000	6500000	45.25
chr11	83000000	85000000	45.25
chr11	125500000	127500000	45.25
chr11	130500000	132500000	45.25
chr11	132500000	134500000	45.25
chr12	67500000	69500000	45.25
chr12	68500000	70500000	45.25
chr12	130000000	132000000	45.25
chr13	43000000	45000000	45.25
chr13	94500000	96500000	45.25
chr13	100500000	102500000	45.25
chr14	47500000	49500000	45.25
chr14	95500000	97500000	45.25
chr15	56500000	58500000	45.25
chr15	93500000	95500000	45.25
chr15	94000000	96000000	45.25
chr16	6500000	8500000	45.25
chr16	25500000	27500000	45.25
chr16	76000000	78000000	45.25
chr16	84500000	86500000	45.25
chr17	77000000	79000000	45.25
chr18	26500000	28500000	45.25
chr19	43000000	45000000	45.25
chr19	54500000	56500000	45.25
chr19	56500000	58500000	45.25
chr21	40500000	42500000	45.25
chr22	40000000	42000000	45.25
chr22	48000000	50000000	45.25
chr1	13500000	15500000	45
chr1	164000000	166000000	45
chr2	158500000	160500000	45
chr2	183000000	185000000	45
chr2	184000000	186000000	45
chr2	235000000	237000000	45
chr3	3500000	5500000	45
chr3	46000000	48000000	45
chr3	133000000	135000000	45
chr3	146000000	148000000	45
chr4	9500000	11500000	45
chr4	30500000	32500000	45
chr4	58000000	60000000	45
chr4	62500000	64500000	45
chr4	63500000	65500000	45
chr4	64000000	66000000	45
chr4	113500000	115500000	45
chr4	119500000	121500000	45
chr4	138500000	140500000	45
chr5	500000	2500000	45
chr5	28000000	30000000	45
chr5	41000000	43000000	45
chr5	71500000	73500000	45
chr5	72500000	74500000	45
chr5	102000000	104000000	45
chr6	7000000	9000000	45
chr6	70000000	72000000	45
chr6	147500000	149500000	45
chr6	164000000	166000000	45
chr7	16000000	18000000	45
chr7	16500000	18500000	45
chr7	28000000	30000000	45
chr7	53500000	55500000	45
chr7	78000000	80000000	45
chr7	156500000	158500000	45
chr8	22500000	24500000	45
chr8	40000000	42000000	45
chr8	113500000	115500000	45
chr8	133000000	135000000	45
chr9	17000000	19000000	45
chr9	27000000	29000000	45
chr9	68500000	70500000	45
chr9	79500000	81500000	45
chr10	20500000	22500000	45
chr10	79500000	81500000	45
chr10	120500000	122500000	45
chr11	25500000	27500000	45
chr11	82500000	84500000	45
chr11	129500000	131500000	45
chr11	133000000	135000000	45
chr12	2000000	4000000	45
chr12	50000000	52000000	45
chr12	68000000	70000000	45
chr12	117000000	119000000	45
chr12	131000000	133000000	45
chr13	43500000	45500000	45
chr13	59000000	61000000	45
chr14	40000000	42000000	45
chr15	36000000	38000000	45
chr15	84000000	86000000	45
chr15	84500000	86500000	45
chr15	95000000	97000000	45
chr16	81000000	83000000	45
chr17	26500000	28500000	45
chr18	21500000	23500000	45
chr18	22000000	24000000	45
chr19	2000000	4000000	45
chr19	22500000	24500000	45
chr19	51500000	53500000	45
chr20	10000000	12000000	45
chr20	44000000	46000000	45
chr20	61500000	63500000	45
chr22	46500000	48500000	45
chr1	78000000	80000000	44.75
chr1	225500000	227500000	44.75
chr2	57500000	59500000	44.75
chr2	112000000	114000000	44.75
chr2	152500000	154500000	44.75
chr2	233500000	235500000	44.75
chr2	238000000	240000000	44.75
chr3	64000000	66000000	44.75
chr3	76500000	78500000	44.75
chr3	89500000	91500000	44.75
chr3	99000000	101000000	44.75
chr3	186500000	188500000	44.75
chr4	64500000	66500000	44.75
chr4	127000000	129000000	44.75
chr4	182500000	184500000	44.75
chr5	6000000	8000000	44.75
chr5	17000000	19000000	44.75
chr5	27500000	29500000	44.75
chr5	57000000	59000000	44.75
chr5	84500000	86500000	44.75
chr5	101500000	103500000	44.75
chr6	1500000	3500000	44.75
chr6	6500000	8500000	44.75
chr6	18000000	20000000	44.75
chr6	78500000	80500000	44.75
chr6	79000000	81000000	44.75
chr6	114000000	116000000	44.75
chr7	13500000	15500000	44.75
chr7	24500000	26500000	44.75
chr7	89000000	91000000	44.75
chr7	90500000	92500000	44.75
chr7	96000000	98000000	44.75
chr7	100000000	102000000	44.75
chr7	108000000	110000000	44.75
chr8	17500000	19500000	44.75
chr8	101500000	103500000	44.75
chr8	104500000	106500000	44.75
chr9	69500000	71500000	44.75
chr9	74500000	76500000	44.75
chr9	131500000	133500000	44.75
chr9	132500000	134500000	44.75
chr9	133500000	135500000	44.75
chr10	11000000	13000000	44.75
chr10	27500000	29500000	44.75
chr11	4000000	6000000	44.75
chr11	7500000	9500000	44.75
chr11	37500000	39500000	44.75
chr11	57500000	59500000	44.75
chr11	129000000	131000000	44.75
chr12	69000000	71000000	44.75
chr12	75500000	77500000	44.75
chr12	88500000	90500000	44.75
chr12	108500000	110500000	44.75
chr12	114500000	116500000	44.75
chr13	35000000	37000000	44.75
chr13	41000000	43000000	44.75
chr13	88500000	90500000	44.75
chr13	104500000	106500000	44.75
chr14	20500000	22500000	44.75
chr14	39500000	41500000	44.75
chr14	84500000	86500000	44.75
chr16	49500000	51500000	44.75
chr16	50500000	52500000	44.75
chr17	11500000	13500000	44.75
chr17	32500000	34500000	44.75
chr17	78500000	80500000	44.75
chr18	25000000	27000000	44.75
chr18	40000000	42000000	44.75
chr18	40500000	42500000	44.75
chr18	66000000	68000000	44.75
chr18	70500000	72500000	44.75
chr18	73500000	75500000	44.75
chr19	54000000	56000000	44.75
chr20	62000000	64000000	44.75
chr22	33500000	35500000	44.75
chrX	13500000	15500000	44.75
chrX	32500000	34500000	44.75
chr1	3000000	5000000	44.5
chr1	43000000	45000000	44.5
chr1	47500000	49500000	44.5
chr1	53500000	55500000	44.5
chr1	69500000	71500000	44.5
chr1	191000000	193000000	44.5
chr2	18000000	20000000	44.5
chr2	26500000	28500000	44.5
chr2	28000000	30000000	44.5
chr2	116000000	118000000	44.5
chr2	137500000	139500000	44.5
chr2	152000000	154000000	44.5
chr2	203000000	205000000	44.5
chr3	60000000	62000000	44.5
chr3	139000000	141000000	44.5
chr3	158500000	160500000	44.5
chr3	162500000	164500000	44.5
chr4	14500000	16500000	44.5
chr4	36000000	38000000	44.5
chr4	55000000	57000000	44.5
chr4	124500000	126500000	44.5
chr4	132500000	134500000	44.5
chr4	138000000	140000000	44.5
chr4	180000000	182000000	44.5
chr5	53000000	55000000	44.5
chr5	94000000	96000000	44.5
chr5	94500000	96500000	44.5
chr5	96000000	98000000	44.5
chr5	101000000	103000000	44.5
chr5	102500000	104500000	44.5
chr5	126500000	128500000	44.5
chr5	130500000	132500000	44.5
chr6	17500000	19500000	44.5
chr6	47500000	49500000	44.5
chr6	154000000	156000000	44.5
chr6	161000000	163000000	44.5
chr6	162000000	164000000	44.5
chr7	80500000	82500000	44.5
chr7	90000000	92000000	44.5
chr7	129500000	131500000	44.5
chr8	21500000	23500000	44.5
chr9	20000000	22000000	44.5
chr9	107000000	109000000	44.5
chr9	134500000	136500000	44.5
chr10	21000000	23000000	44.5
chr10	42500000	44500000	44.5
chr10	53000000	55000000	44.5
chr10	64500000	66500000	44.5
chr10	114500000	116500000	44.5
chr11	33000000	35000000	44.5
chr11	42000000	44000000	44.5
chr11	101500000	103500000	44.5
chr12	25000000	27000000	44.5
chr12	43500000	45500000	44.5
chr12	66000000	68000000	44.5
chr12	76500000	78500000	44.5
chr12	119000000	121000000	44.5
chr13	28500000	30500000	44.5
chr13	29500000	31500000	44.5
chr13	75000000	77000000	44.5
chr13	77500000	79500000	44.5
chr13	84000000	86000000	44.5
chr13	108500000	110500000	44.5
chr14	22000000	24000000	44.5
chr14	55000000	57000000	44.5
chr14	71500000	73500000	44.5
chr15	36500000	38500000	44.5
chr15	88500000	90500000	44.5
chr15	92000000	94000000	44.5
chr16	85000000	87000000	44.5
chr17	47000000	49000000	44.5
chr17	75500000	77500000	44.5
chr18	2500000	4500000	44.5
chr18	73000000	75000000	44.5
chr19	3500000	5500000	44.5
chr19	5000000	7000000	44.5
chr19	5500000	7500000	44.5
chr19	27500000	29500000	44.5
chr19	55500000	57500000	44.5
chr21	39000000	41000000	44.5
chr22	19500000	21500000	44.5
chr22	36000000	38000000	44.5
chr22	43000000	45000000	44.5
chrX	56000000	58000000	44.5
chr1	153500000	155500000	44.25
chr1	170000000	172000000	44.25
chr1	191500000	193500000	44.25
chr1	195000000	197000000	44.25
chr1	221000000	223000000	44.25
chr1	230500000	232500000	44.25
chr2	7500000	9500000	44.25
chr2	30500000	32500000	44.25
chr2	56500000	58500000	44.25
chr2	59000000	61000000	44.25
chr2	104500000	106500000	44.25
chr2	195500000	197500000	44.25
